ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.6899,,7,1587.2 ,0.046 ,1193.9 ,0.046 ,0.8 ,0.080850535,1.0 ,0.046 ,247260,246118,C,
orf19.6900,,7,105.2 ,0.061 ,119.1 ,0.061 ,1.1 ,0.301644459,1.0 ,0.061 ,248252,249538,W,
orf19.6901,,7,73.0 ,0.050 ,118.1 ,0.050 ,1.6 ,0.484123524,1.0 ,0.050 ,249862,250770,W,
orf19.6902,DBP7,7,1064.0 ,0.111 ,1129.1 ,0.111 ,1.1 ,0.919175994,1.0 ,0.111 ,252977,250794,C,
orf19.6903,,7,1867.8 ,0.052 ,1638.1 ,0.052 ,0.9 ,0.903320846,1.0 ,0.052 ,254185,253349,C,
orf19.6904,GCN3,7,961.7 ,0.069 ,1005.9 ,0.069 ,1.0 ,0.401882128,1.1 ,0.069 ,254406,255341,W,
orf19.6905,,7,482.0 ,0.066 ,507.8 ,0.066 ,1.1 ,0.652577975,1.0 ,0.066 ,256808,255375,C,
orf19.6906,ASC1,7,11563.3 ,0.084 ,10540.3 ,0.084 ,0.9 ,0.544179852,1.0 ,0.084 ,257914,259126,W,
orf19.6907,,7,828.2 ,0.050 ,599.8 ,0.050 ,0.7 ,0.027469806,1.0 ,0.050 ,261084,259276,C,
orf19.6908,,7,96.2 ,0.069 ,161.5 ,0.069 ,1.7 ,0.061883853,1.0 ,0.069 ,262554,261262,C,
orf19.6909,,7,76.8 ,0.041 ,90.9 ,0.041 ,1.0 ,0.922445693,1.0 ,0.041 ,263354,263860,W,
orf19.6910,PSF1,7,330.8 ,0.042 ,271.4 ,0.042 ,0.8 ,0.886547309,1.0 ,0.042 ,264608,263898,C,
orf19.6911,,7,0.7 ,0.058 ,31.1 ,0.058 ,1.0 ,0.119980879,1.1 ,0.058 ,265075,264746,C,
orf19.6912,,7,353.0 ,0.039 ,271.9 ,0.039 ,0.8 ,0.798460254,1.0 ,0.039 ,266121,267941,W,
orf19.6913,GCN2,7,378.4 ,0.041 ,467.4 ,0.041 ,1.2 ,0.225625311,1.0 ,0.041 ,273403,268109,C,
orf19.6915,MRE11,7,294.9 ,0.063 ,284.9 ,0.063 ,1.0 ,0.252996389,1.0 ,0.063 ,273671,275719,W,
orf19.6916,,7,430.1 ,0.074 ,294.2 ,0.074 ,0.7 ,0.231236204,1.0 ,0.074 ,276747,275788,C,
orf19.6917,,7,117.7 ,0.115 ,121.1 ,0.115 ,1.0 ,0.489312185,0.9 ,0.115 ,277738,277184,C,
orf19.6918,,7,601.5 ,0.061 ,620.3 ,0.061 ,1.0 ,0.266199094,1.0 ,0.061 ,278055,279503,W,
orf19.6919,,7,21.2 ,0.051 ,15.6 ,0.051 ,1.0 ,0.362569304,1.0 ,0.051 ,281377,282504,W,
orf19.6920,,7,737.5 ,0.055 ,409.2 ,0.055 ,0.6 ,0.201654924,1.0 ,0.055 ,285902,286294,W,
orf19.6921,,7,319.7 ,0.066 ,241.9 ,0.066 ,0.8 ,0.139162417,1.0 ,0.066 ,289095,286777,C,
orf19.6588,,7,713.6 ,0.045 ,675.3 ,0.045 ,0.9 ,0.679034465,1.0 ,0.045 ,291141,290113,C,
orf19.6587,,7,264.6 ,0.069 ,332.3 ,0.069 ,1.3 ,0.54686407,1.0 ,0.069 ,292254,293033,W,
orf19.6586,,7,7501.8 ,0.038 ,5637.4 ,0.038 ,0.8 ,0.045717404,1.0 ,0.038 ,296775,295834,C,
orf19.6585,,7,734.3 ,0.027 ,458.3 ,0.027 ,0.6 ,0.316227942,1.0 ,0.027 ,302677,303045,W,
orf19.6584,PRT1,7,2652.2 ,0.037 ,1568.0 ,0.037 ,0.6 ,0.102443606,1.0 ,0.037 ,305372,303153,C,
orf19.6583,,7,49.3 ,0.095 ,13.4 ,0.095 ,1.0 ,0.076230462,1.0 ,0.095 ,308850,305830,C,
orf19.6582,PRE10,7,434.5 ,0.051 ,511.0 ,0.051 ,1.2 ,0.405728083,1.0 ,0.051 ,310167,309231,C,
orf19.6581,,7,116.4 ,0.067 ,158.8 ,0.067 ,1.4 ,0.55283283,1.0 ,0.067 ,310447,311787,W,
orf19.6580,,7,99.9 ,0.046 ,41.7 ,0.046 ,0.4 ,0.347618373,1.0 ,0.046 ,312572,313264,W,
orf19.6579,,7,269.1 ,0.045 ,439.1 ,0.045 ,1.6 ,0.025507433,1.0 ,0.045 ,313807,315117,W,
orf19.6578,,7,1438.2 ,0.056 ,1440.2 ,0.056 ,1.0 ,0.870254763,1.0 ,0.056 ,317086,318729,W,
orf19.6577,FLU1,7,2830.4 ,0.065 ,2681.8 ,0.065 ,0.9 ,0.417206855,1.1 ,0.065 ,320557,322389,W,
orf19.6575,,7,8.2 ,0.034 ,0.0 ,0.034 ,1.0 ,0.422649731,1.0 ,0.034 ,322905,323231,W,
orf19.6574,ALK6,7,34.6 ,0.054 ,38.5 ,0.054 ,1.0 ,0.912995978,0.9 ,0.054 ,325172,326695,W,
orf19.6573,BEM2,7,775.8 ,0.049 ,677.7 ,0.049 ,0.9 ,0.375222241,1.0 ,0.049 ,329717,336475,W,
orf19.6570,NUP,7,195.4 ,0.060 ,156.3 ,0.060 ,0.8 ,0.869494441,1.0 ,0.060 ,337899,336679,C,
orf19.6569,,7,49.2 ,0.042 ,38.2 ,0.042 ,1.0 ,0.391974793,0.9 ,0.042 ,339885,338749,C,
orf19.6568,SMC6,7,423.4 ,0.064 ,403.8 ,0.064 ,1.0 ,0.235588828,1.0 ,0.064 ,340592,343978,W,
orf19.6566,,7,157.6 ,0.071 ,107.3 ,0.071 ,0.7 ,0.124932625,1.0 ,0.071 ,345577,344246,C,
orf19.6565,,7,1916.5 ,0.040 ,1936.0 ,0.040 ,1.0 ,0.677039487,1.0 ,0.040 ,345796,346920,W,
orf19.6563.1,,7,263.5 ,0.073 ,246.9 ,0.073 ,0.9 ,0.867858108,1.0 ,0.073 ,347247,347584,W,
orf19.6563,,7,908.3 ,0.094 ,1418.7 ,0.094 ,1.6 ,0.248719075,1.0 ,0.094 ,349794,347815,C,
orf19.6562,RNH35,7,693.7 ,0.041 ,514.1 ,0.041 ,0.7 ,0.022404257,1.0 ,0.041 ,350991,352286,W,
orf19.6561,LAT1,7,8562.1 ,0.086 ,10021.3 ,0.086 ,1.2 ,0.158178144,1.0 ,0.086 ,352680,354113,W,
orf19.6559,,7,951.5 ,0.035 ,1356.4 ,0.035 ,1.4 ,0.130413973,1.0 ,0.035 ,354544,356141,W,
orf19.6558,,7,687.8 ,0.083 ,621.2 ,0.083 ,0.9 ,0.670707951,1.0 ,0.083 ,358624,356177,C,
orf19.6557,,7,319.1 ,0.089 ,280.8 ,0.089 ,0.9 ,0.374662447,1.0 ,0.089 ,359158,360897,W,
orf19.6556,,7,83.8 ,0.058 ,49.4 ,0.058 ,1.0 ,0.223134336,1.0 ,0.058 ,364477,363743,C,
orf19.6555,,7,120.9 ,0.100 ,116.7 ,0.100 ,1.0 ,0.676087909,1.0 ,0.100 ,369532,369888,W,
orf19.6554,,7,1419.0 ,0.045 ,1562.4 ,0.045 ,1.1 ,0.283173179,1.0 ,0.045 ,370382,371209,W,
orf19.6553,,7,8234.1 ,0.065 ,6920.4 ,0.065 ,0.8 ,0.187805757,0.9 ,0.065 ,371483,372664,W,
orf19.6552,,7,619.7 ,0.087 ,999.9 ,0.087 ,1.6 ,0.025746211,1.0 ,0.087 ,373131,373895,W,
orf19.6551.1,STE18,7,198.2 ,0.072 ,344.4 ,0.072 ,1.7 ,0.042816964,1.0 ,0.072 ,374340,374000,C,
orf19.6551,,7,630.5 ,0.056 ,2068.2 ,0.056 ,3.3 ,0.010343765,1.0 ,0.056 ,375266,374592,C,
orf19.6550,,7,197.7 ,0.069 ,263.1 ,0.069 ,1.3 ,0.236032035,1.0 ,0.069 ,375746,376630,W,
orf19.6548,ISU1,7,3690.8 ,0.053 ,3878.1 ,0.053 ,1.1 ,0.595648163,1.0 ,0.053 ,377787,377224,C,
orf19.6547,,7,51.4 ,0.058 ,41.7 ,0.058 ,1.0 ,0.280786019,1.0 ,0.058 ,379041,379388,W,
orf19.6544,LPI9,7,1022.4 ,0.066 ,895.2 ,0.066 ,0.9 ,0.433075915,1.0 ,0.066 ,380244,384338,W,
orf19.6541,RPL5,7,39469.5 ,0.058 ,29493.0 ,0.058 ,0.7 ,0.129961756,1.0 ,0.058 ,385385,384489,C,
orf19.6540,PFK2,7,11478.3 ,0.110 ,11234.7 ,0.110 ,1.0 ,0.530020163,1.0 ,0.110 ,388800,385960,C,
orf19.6539,,7,3578.9 ,0.133 ,3738.8 ,0.133 ,1.0 ,0.855774672,1.1 ,0.133 ,390349,391845,W,
orf19.6538,VMA11,7,2640.5 ,0.089 ,3169.5 ,0.089 ,1.2 ,0.01456125,1.0 ,0.089 ,392513,392022,C,
orf19.6537,,7,148.4 ,0.049 ,138.5 ,0.049 ,0.9 ,0.177553035,1.0 ,0.049 ,393005,393697,W,
orf19.6536,IQG1,7,584.0 ,0.045 ,485.2 ,0.045 ,0.8 ,0.476005491,1.0 ,0.045 ,394417,399360,W,
orf19.6534,,7,944.2 ,0.056 ,734.8 ,0.056 ,0.8 ,0.081113898,1.0 ,0.056 ,401552,402022,W,
orf19.6534.2,,7,1.1 ,0.111 ,11.1 ,0.111 ,1.0 ,0.237770868,1.0 ,0.111 ,401744,399689,C,
orf19.6533,MSK1,7,173.3 ,0.094 ,166.8 ,0.094 ,1.0 ,0.90904794,1.0 ,0.094 ,402406,404013,W,
orf19.6532,,7,188.9 ,0.146 ,169.4 ,0.146 ,0.9 ,0.416529045,1.0 ,0.146 ,405125,404175,C,
orf19.6531.1,TOM71,7,2857.9 ,0.038 ,3218.4 ,0.038 ,1.1 ,0.186699158,1.0 ,0.038 ,405841,405644,C,
orf19.6531,NUC2,7,868.7 ,0.096 ,974.5 ,0.096 ,1.1 ,0.828828012,1.0 ,0.096 ,406704,408140,W,
orf19.6530,,7,147.8 ,0.065 ,212.9 ,0.065 ,1.4 ,0.00556803,1.0 ,0.065 ,409251,408388,C,
orf19.6529,CDC34,7,317.9 ,0.130 ,310.2 ,0.130 ,1.0 ,0.70429548,1.1 ,0.130 ,411055,411789,W,
orf19.6528,,7,735.8 ,0.066 ,781.2 ,0.066 ,1.1 ,0.884199965,1.0 ,0.066 ,412924,412313,C,
orf19.6527,,7,2192.8 ,0.063 ,1977.6 ,0.063 ,0.9 ,0.361564415,1.0 ,0.063 ,416612,413295,C,
orf19.6526,,7,1427.1 ,0.107 ,1184.7 ,0.107 ,0.8 ,0.745484141,1.1 ,0.107 ,418443,419297,W,
orf19.6525,,7,535.4 ,0.095 ,350.8 ,0.095 ,0.7 ,0.422058707,1.1 ,0.095 ,419932,421986,W,
orf19.6524,,7,4303.7 ,0.111 ,3052.1 ,0.111 ,0.7 ,0.134653944,1.0 ,0.111 ,423405,422233,C,
orf19.6522,,7,686.1 ,0.142 ,702.0 ,0.142 ,1.0 ,0.709585779,1.1 ,0.142 ,431677,429947,C,
orf19.6520,,7,325.5 ,0.087 ,892.9 ,0.087 ,2.7 ,0.008268289,1.0 ,0.087 ,433893,432217,C,
orf19.6518,,7,211.5 ,0.143 ,158.4 ,0.143 ,0.7 ,0.041071892,1.1 ,0.143 ,437288,435303,C,
orf19.6517,RAD14,7,464.5 ,0.063 ,717.4 ,0.063 ,1.5 ,0.028995219,1.0 ,0.063 ,438038,439228,W,
orf19.6515,HSP90,7,5946.0 ,0.080 ,7950.7 ,0.080 ,1.3 ,0.087450528,1.0 ,0.080 ,439531,441654,W,
orf19.6514,CUP9,7,4098.3 ,0.049 ,4323.9 ,0.049 ,1.1 ,0.880297645,1.0 ,0.049 ,450910,449876,C,
orf19.6512,EXO70,7,449.4 ,0.065 ,409.4 ,0.065 ,0.9 ,0.220998201,1.0 ,0.065 ,457369,455366,C,
orf19.6511,LIG1,7,839.3 ,0.057 ,678.0 ,0.057 ,0.8 ,0.224093355,1.0 ,0.057 ,458226,460724,W,
orf19.6510,GRX1,7,63.2 ,0.086 ,198.4 ,0.086 ,3.1 ,0.001315472,1.0 ,0.086 ,461000,461371,W,
orf19.6509,,7,1984.2 ,0.049 ,2077.7 ,0.049 ,1.0 ,0.550772885,1.0 ,0.049 ,461684,462154,W,
orf19.6508,,7,305.5 ,0.071 ,397.1 ,0.071 ,1.3 ,0.507856687,1.0 ,0.071 ,463047,462247,C,
orf19.6507,,7,2890.1 ,0.054 ,3846.3 ,0.054 ,1.3 ,0.205506443,1.0 ,0.054 ,463558,464782,W,
orf19.6506,,7,392.4 ,0.062 ,376.3 ,0.062 ,1.0 ,0.802372663,1.0 ,0.062 ,465070,467136,W,
orf19.6503,,7,387.5 ,0.075 ,318.5 ,0.075 ,0.8 ,0.923408851,1.0 ,0.075 ,467773,467312,C,
orf19.6502,,7,0.0 ,0.059 ,6.9 ,0.059 ,1.0 ,0.363217468,1.0 ,0.059 ,468127,469164,W,
orf19.6501,,7,218.6 ,0.110 ,154.4 ,0.110 ,0.7 ,0.222589315,1.0 ,0.110 ,469502,470374,W,
orf19.6500,ECM42,7,1217.8 ,0.094 ,1421.4 ,0.094 ,1.2 ,0.66099377,1.0 ,0.094 ,471728,470409,C,
orf19.6499,,7,933.7 ,0.040 ,899.6 ,0.040 ,1.0 ,0.930206226,1.0 ,0.040 ,472190,475846,W,
orf19.6498,,7,807.1 ,0.062 ,1081.3 ,0.062 ,1.3 ,0.295168204,1.1 ,0.062 ,476931,475903,C,
orf19.6496,TRS33,7,1142.1 ,0.080 ,1311.5 ,0.080 ,1.1 ,0.246399952,1.0 ,0.080 ,477807,477169,C,
orf19.6494,WHI3,7,210.7 ,0.066 ,232.3 ,0.066 ,1.1 ,0.376388492,1.1 ,0.066 ,480373,482487,W,
orf19.6493,,7,0.0 ,0.063 ,3.5 ,0.063 ,1.0 ,0.422649731,1.0 ,0.063 ,483239,483631,W,
orf19.6492,,7,639.6 ,0.047 ,693.4 ,0.047 ,1.1 ,0.952183711,1.0 ,0.047 ,485036,483810,C,
orf19.6491,,7,101.2 ,0.047 ,71.3 ,0.047 ,0.7 ,0.893188388,1.0 ,0.047 ,486519,486872,W,
orf19.6489,FMP45,7,2718.1 ,0.105 ,2726.8 ,0.105 ,1.0 ,0.696422425,1.0 ,0.105 ,487109,487966,W,
orf19.6488,,7,6.1 ,0.044 ,5.3 ,0.044 ,1.0 ,0.36492174,1.0 ,0.044 ,489299,491008,W,
orf19.6487,,7,219.8 ,0.073 ,328.3 ,0.073 ,1.5 ,0.132214601,1.0 ,0.073 ,492273,492731,W,
orf19.6486,LDG3,7,1.3 ,0.028 ,7.6 ,0.028 ,1.0 ,0.422649731,1.0 ,0.028 ,493961,494419,W,
orf19.6484,,7,4.1 ,0.066 ,54.6 ,0.066 ,1.0 ,0.188964425,1.0 ,0.066 ,495607,496065,W,
orf19.6482,,7,100.0 ,0.050 ,296.1 ,0.050 ,3.0 ,0.085031019,1.0 ,0.050 ,496851,497402,W,
orf19.6481,YPS7,7,121.9 ,0.046 ,132.9 ,0.046 ,1.1 ,0.81211954,1.0 ,0.046 ,497855,499960,W,
orf19.6480,,7,360.1 ,0.057 ,351.1 ,0.057 ,1.0 ,0.90677306,1.0 ,0.057 ,501344,500154,C,
orf19.6479,SEC1,7,138.0 ,0.049 ,67.6 ,0.049 ,0.5 ,0.074820734,1.0 ,0.049 ,502656,504995,W,
orf19.6478,YCF1,7,3018.6 ,0.029 ,3102.5 ,0.029 ,1.0 ,0.959392004,1.0 ,0.029 ,505458,510200,W,
orf19.6477,,7,785.6 ,0.050 ,786.7 ,0.050 ,1.0 ,0.811530513,1.0 ,0.050 ,511622,510342,C,
orf19.6476,,7,53.8 ,0.049 ,46.4 ,0.049 ,1.0 ,0.388716218,1.0 ,0.049 ,514210,511808,C,
orf19.6475,,7,100.1 ,0.036 ,111.5 ,0.036 ,1.1 ,0.478658295,1.0 ,0.036 ,515715,516128,W,
orf19.6474,,7,1265.3 ,0.057 ,1789.3 ,0.057 ,1.4 ,0.112267439,1.0 ,0.057 ,517537,518040,W,
orf19.6472,CYP1,7,28634.3 ,0.099 ,33274.1 ,0.099 ,1.2 ,0.366475702,1.0 ,0.099 ,519625,519137,C,
orf19.6470,AHP2,7,4217.4 ,0.036 ,4573.5 ,0.036 ,1.1 ,0.725373372,1.0 ,0.036 ,520556,521113,W,
orf19.6469,,7,483.1 ,0.078 ,496.4 ,0.078 ,1.0 ,0.92464206,1.0 ,0.078 ,526233,523720,C,
orf19.6465,,7,323.6 ,0.090 ,352.4 ,0.090 ,1.1 ,0.603776628,1.1 ,0.090 ,527907,526552,C,
orf19.6464,,7,797.0 ,0.062 ,847.7 ,0.062 ,1.1 ,0.790910846,1.0 ,0.062 ,529027,530880,W,
orf19.6463,,7,1155.4 ,0.048 ,1508.0 ,0.048 ,1.3 ,0.10522272,1.0 ,0.048 ,532174,530897,C,
orf19.6462,,7,1208.1 ,0.048 ,1832.0 ,0.048 ,1.5 ,0.075198256,1.0 ,0.048 ,533134,532257,C,
orf19.6461,,7,571.9 ,0.076 ,863.8 ,0.076 ,1.5 ,0.221915004,1.0 ,0.076 ,533827,534342,W,
orf19.6460,,7,611.4 ,0.037 ,448.2 ,0.037 ,0.7 ,0.077528281,1.0 ,0.037 ,534971,538246,W,
orf19.6459,DPP3,7,572.0 ,0.054 ,735.1 ,0.054 ,1.3 ,0.19467353,1.0 ,0.054 ,539309,538389,C,
orf19.6458.1,,7,155.8 ,0.129 ,138.4 ,0.129 ,0.9 ,0.378155505,1.0 ,0.129 ,540454,540928,W,
orf19.6458,,7,517.2 ,0.086 ,598.7 ,0.086 ,1.2 ,0.45104786,1.0 ,0.086 ,541394,542185,W,
orf19.6457,,7,180.7 ,0.023 ,181.5 ,0.023 ,1.0 ,0.841216464,1.0 ,0.023 ,543676,542126,C,
orf19.6456,,7,223.0 ,0.070 ,251.4 ,0.070 ,1.1 ,0.638795857,1.0 ,0.070 ,545768,547444,W,
orf19.6455,,7,403.5 ,0.042 ,601.4 ,0.042 ,1.5 ,0.110630645,1.0 ,0.042 ,548338,547670,C,
orf19.6453,,7,346.2 ,0.023 ,365.7 ,0.023 ,1.1 ,0.686527472,1.0 ,0.023 ,548612,552553,W,
orf19.6452,RBP1,7,5842.5 ,0.277 ,6297.7 ,0.277 ,1.1 ,0.7795946,1.0 ,0.277 ,553012,552638,C,
orf19.2371,,7,164.9 ,0.544 ,149.8 ,0.544 ,0.9 ,0.487970214,1.4 ,0.544 ,559928,558975,C,
orf19.3701,,7,299.2 ,0.055 ,128.8 ,0.055 ,0.4 ,0.244768401,1.0 ,0.055 ,560586,562502,W,
orf19.3700,TOM70,7,1522.3 ,0.043 ,1356.6 ,0.043 ,0.9 ,0.660552666,0.9 ,0.043 ,563076,564965,W,
orf19.3699,TEP1,7,76.6 ,0.034 ,63.0 ,0.034 ,1.0 ,0.310439166,1.0 ,0.034 ,565324,566484,W,
orf19.3698,,7,425.6 ,0.025 ,489.4 ,0.025 ,1.1 ,0.33661784,1.0 ,0.025 ,567256,566576,C,
orf19.3697,,7,17.4 ,0.037 ,35.0 ,0.037 ,1.0 ,0.91793005,1.0 ,0.037 ,568048,571029,W,
orf19.3696,TOM22,7,2992.3 ,0.061 ,3620.7 ,0.061 ,1.2 ,0.152222026,0.9 ,0.061 ,571215,571667,W,
orf19.3695,,7,1553.7 ,0.060 ,1419.7 ,0.060 ,0.9 ,0.950548406,1.0 ,0.060 ,573118,571910,C,
orf19.5191,FGR6-1,7,1046.6 ,0.052 ,585.6 ,0.052 ,0.6 ,0.182237586,0.9 ,0.052 ,585462,587000,W,
orf19.5188,CHS1,7,1897.7 ,0.079 ,1019.0 ,0.079 ,0.5 ,0.012235562,1.0 ,0.079 ,593140,596220,W,
orf19.5184,,7,1513.2 ,0.142 ,1437.1 ,0.142 ,0.9 ,0.339406,1.1 ,0.142 ,596459,597940,W,
orf19.5182,POL3,7,622.7 ,0.078 ,502.0 ,0.078 ,0.8 ,0.152125478,1.0 ,0.078 ,601113,597997,C,
orf19.5181,NIK1,7,489.2 ,0.115 ,480.4 ,0.115 ,1.0 ,0.672295261,1.1 ,0.115 ,601548,604793,W,
orf19.5180,PRX1,7,17104.1 ,0.067 ,18033.5 ,0.067 ,1.1 ,0.209810004,1.0 ,0.067 ,605347,606078,W,
orf19.5179,LIP5,7,279.7 ,0.125 ,261.9 ,0.125 ,0.9 ,0.704921767,1.1 ,0.125 ,610811,609420,C,
orf19.5178,ERG5,7,3337.8 ,0.097 ,3328.1 ,0.097 ,1.0 ,0.708235829,1.0 ,0.097 ,613720,612167,C,
orf19.5177,,7,299.1 ,0.056 ,390.5 ,0.056 ,1.3 ,0.034402321,1.0 ,0.056 ,614946,616880,W,
orf19.5175,,7,329.6 ,0.078 ,486.6 ,0.078 ,1.5 ,0.009961913,1.0 ,0.078 ,621061,617642,C,
orf19.5174,TAF19,7,1315.7 ,0.093 ,1584.3 ,0.093 ,1.2 ,0.005242826,1.0 ,0.093 ,621841,621341,C,
orf19.5172,LIP9,7,4.6 ,0.084 ,1.6 ,0.084 ,1.0 ,0.823933024,1.0 ,0.084 ,623503,622142,C,
orf19.5171,PMT1,7,1865.9 ,0.071 ,1433.4 ,0.071 ,0.8 ,0.095978286,1.0 ,0.071 ,627319,624686,C,
orf19.5170,ENA21,7,4294.8 ,0.160 ,3907.0 ,0.160 ,0.9 ,0.73293477,1.1 ,0.160 ,629811,632726,W,
orf19.5169,,7,404.3 ,0.115 ,545.7 ,0.115 ,1.3 ,0.029297443,1.0 ,0.115 ,633447,635168,W,
orf19.5168,,7,292.1 ,0.056 ,461.4 ,0.056 ,1.6 ,0.005273334,1.0 ,0.056 ,636587,635283,C,
orf19.5167,IFM1,7,442.5 ,0.089 ,419.7 ,0.089 ,0.9 ,0.418584637,1.1 ,0.089 ,639065,636762,C,
orf19.5166,DBF4,7,345.7 ,0.085 ,339.8 ,0.085 ,1.0 ,0.379888899,1.1 ,0.085 ,640747,639227,C,
orf19.5165,,7,194.9 ,0.071 ,210.4 ,0.071 ,1.1 ,0.9158511,1.0 ,0.071 ,642434,641307,C,
orf19.5164,ECM39,7,527.2 ,0.081 ,482.0 ,0.081 ,0.9 ,0.156832531,1.0 ,0.081 ,642621,644375,W,
orf19.5163,SFI1,7,333.1 ,0.063 ,244.3 ,0.063 ,0.7 ,0.41932387,1.0 ,0.063 ,647745,644383,C,
orf19.5162,BCK1,7,981.9 ,0.109 ,707.0 ,0.109 ,0.7 ,0.112479626,1.1 ,0.109 ,648125,652087,W,
orf19.5161,,7,1345.1 ,0.103 ,1507.0 ,0.103 ,1.1 ,0.159911165,1.0 ,0.103 ,652621,652139,C,
orf19.5160,,7,456.5 ,0.056 ,289.9 ,0.056 ,0.6 ,0.716152489,1.0 ,0.056 ,653625,656210,W,
orf19.5159,,7,857.6 ,0.043 ,1232.7 ,0.043 ,1.4 ,0.005783443,1.0 ,0.043 ,657444,656410,C,
orf19.5158,,7,3168.8 ,0.050 ,4251.0 ,0.050 ,1.3 ,0.046756091,1.0 ,0.050 ,658048,658566,W,
orf19.5157,,7,317.5 ,0.072 ,270.7 ,0.072 ,0.9 ,0.350195487,1.0 ,0.072 ,658783,659394,W,
orf19.5156,,7,2480.7 ,0.052 ,2074.3 ,0.052 ,0.8 ,0.284278674,1.0 ,0.052 ,659536,660138,W,
orf19.5155,CHS6,7,514.6 ,0.041 ,364.7 ,0.041 ,0.7 ,0.168422993,1.0 ,0.041 ,662425,660140,C,
orf19.5148,CYR1,7,1128.0 ,0.048 ,832.6 ,0.048 ,0.7 ,0.171530856,1.0 ,0.048 ,667810,662738,C,
orf19.5147,,7,546.3 ,0.033 ,426.5 ,0.033 ,0.8 ,0.446883002,1.0 ,0.033 ,669600,671519,W,
orf19.5145,SSP96,7,361.3 ,0.078 ,412.7 ,0.078 ,1.1 ,0.314798372,1.0 ,0.078 ,672892,671645,C,
orf19.5144,PGA28,7,60.1 ,0.059 ,74.0 ,0.059 ,1.0 ,0.302780719,1.0 ,0.059 ,675515,676195,W,
orf19.5143,,7,1067.3 ,0.065 ,938.7 ,0.065 ,0.9 ,0.394857785,1.1 ,0.065 ,676831,678033,W,
orf19.5142,DFR1,7,464.7 ,0.088 ,602.4 ,0.088 ,1.3 ,0.267027396,1.0 ,0.088 ,678680,678102,C,
orf19.5141,,7,18.5 ,0.056 ,35.1 ,0.056 ,1.0 ,0.146718623,1.0 ,0.056 ,679378,681549,W,
orf19.5140,,7,662.2 ,0.074 ,667.2 ,0.074 ,1.0 ,0.445485392,1.0 ,0.074 ,682335,684422,W,
orf19.5139,,7,471.7 ,0.054 ,645.5 ,0.054 ,1.4 ,0.142602918,1.0 ,0.054 ,685158,687395,W,
orf19.5138,IFA21,7,782.5 ,0.050 ,731.0 ,0.050 ,0.9 ,0.416375971,1.0 ,0.050 ,687957,690230,W,
orf19.5137.1,HHO1,7,0.0 ,0.041 ,0.0 ,0.041 ,1.0 ,NA,1.0 ,0.041 ,692061,691430,C,
orf19.5137,,7,10380.9 ,0.090 ,10001.2 ,0.090 ,1.0 ,0.116641148,1.1 ,0.090 ,692629,692252,C,
orf19.5136,,7,861.2 ,0.068 ,1609.0 ,0.068 ,1.9 ,0.04914705,1.0 ,0.068 ,694157,693471,C,
orf19.5134,,7,127.0 ,0.050 ,155.1 ,0.050 ,1.2 ,0.544826374,1.0 ,0.050 ,695648,696805,W,
orf19.5133,ZCF29,7,1191.2 ,0.099 ,1299.3 ,0.099 ,1.1 ,0.478597906,1.1 ,0.099 ,700360,697043,C,
orf19.5132,,7,475.3 ,0.060 ,437.8 ,0.060 ,0.9 ,0.385384614,1.0 ,0.060 ,700977,700597,C,
orf19.5131,,7,697.1 ,0.034 ,895.3 ,0.034 ,1.3 ,0.183936685,1.0 ,0.034 ,703314,705476,W,
orf19.5130,PDI1,7,5788.3 ,0.059 ,6533.0 ,0.059 ,1.1 ,0.004860524,1.0 ,0.059 ,707309,705627,C,
orf19.5129,,7,506.5 ,0.131 ,619.4 ,0.131 ,1.2 ,0.937514905,1.1 ,0.131 ,709164,708478,C,
orf19.5126,,7,168.9 ,0.112 ,100.3 ,0.112 ,0.6 ,0.103630543,1.1 ,0.112 ,710719,711912,W,
orf19.5125,,7,1332.0 ,0.050 ,1518.2 ,0.050 ,1.1 ,0.492374245,1.0 ,0.050 ,715230,713515,C,
orf19.5124,RBR3,7,497.3 ,0.148 ,485.1 ,0.148 ,1.0 ,0.90777522,1.1 ,0.148 ,718154,716736,C,
orf19.1345,LIP8,7,76.1 ,0.060 ,70.4 ,0.060 ,1.0 ,0.497988447,1.1 ,0.060 ,728884,727502,C,
orf19.1344,,7,1648.9 ,0.055 ,2621.9 ,0.055 ,1.6 ,0.02371858,1.0 ,0.055 ,731818,732486,W,
orf19.1343,,7,1482.2 ,0.060 ,762.1 ,0.060 ,0.5 ,0.035241748,1.0 ,0.060 ,735818,732660,C,
orf19.1342,SHM1,7,6484.1 ,0.140 ,4491.2 ,0.140 ,0.7 ,0.019872956,1.1 ,0.140 ,737569,736088,C,
orf19.1341,PRR2,7,95.8 ,0.061 ,83.1 ,0.061 ,1.0 ,0.669504777,1.0 ,0.061 ,738804,737848,C,
orf19.1340,,7,301.6 ,0.040 ,436.4 ,0.040 ,1.4 ,0.046281613,1.0 ,0.040 ,739871,738942,C,
orf19.1339,CPY1,7,1795.6 ,0.040 ,1807.7 ,0.040 ,1.0 ,0.836954301,1.0 ,0.040 ,740688,742316,W,
orf19.1338,,7,629.3 ,0.053 ,609.8 ,0.053 ,1.0 ,0.905783149,1.0 ,0.053 ,743668,742574,C,
