ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.5664,HOF1,4,610.1 ,0.042 ,361.2 ,0.042 ,0.6 ,0.985803678,1.0 ,0.042 ,56584,58407,W,
orf19.5665,,4,934.4 ,0.045 ,972.2 ,0.045 ,1.0 ,0.807336306,1.1 ,0.045 ,58588,59571,W,
orf19.5666,,4,1020.1 ,0.109 ,1358.0 ,0.109 ,1.3 ,0.306164572,1.1 ,0.109 ,59717,60157,W,
orf19.5667,MNR2,4,1225.5 ,0.110 ,1067.9 ,0.110 ,0.9 ,0.448029765,1.1 ,0.110 ,60947,63340,W,
orf19.5669,,4,457.1 ,0.068 ,714.2 ,0.068 ,1.6 ,0.033855452,1.0 ,0.068 ,63561,64121,W,
orf19.5671,,4,3437.3 ,0.114 ,2915.3 ,0.114 ,0.8 ,0.525002426,1.0 ,0.114 ,66706,64271,C,
orf19.5672,MEP2,4,717.7 ,0.146 ,388.9 ,0.146 ,0.5 ,0.002453753,1.1 ,0.146 ,67995,69437,W,
orf19.5673,OPT7,4,167.0 ,0.120 ,161.8 ,0.120 ,1.0 ,0.634110211,1.1 ,0.120 ,71749,69506,C,
orf19.5674,PGA10,4,269.6 ,0.023 ,336.8 ,0.023 ,1.2 ,0.654133045,1.0 ,0.023 ,73547,72795,C,
orf19.5675,,4,1153.9 ,0.107 ,984.5 ,0.107 ,0.9 ,0.02326281,1.1 ,0.107 ,77579,74271,C,
orf19.5676,,4,935.3 ,0.036 ,763.2 ,0.036 ,0.8 ,0.183954624,1.0 ,0.036 ,80171,78360,C,
orf19.5677,DUR4,4,66.4 ,0.100 ,117.3 ,0.100 ,1.8 ,0.427673529,1.1 ,0.100 ,81578,83551,W,
orf19.4191.1,,4,891.9 ,0.077 ,911.8 ,0.077 ,1.0 ,0.794538062,1.0 ,0.077 ,86317,89235,W,
orf19.4191,RLP24,4,1168.3 ,0.116 ,935.6 ,0.116 ,0.8 ,0.162956828,1.0 ,0.116 ,90017,89388,C,
orf19.4190,,4,690.7 ,0.056 ,770.2 ,0.056 ,1.1 ,0.452173492,1.0 ,0.056 ,90450,90923,W,
orf19.4189,,4,208.9 ,0.034 ,220.8 ,0.034 ,1.1 ,0.720576855,1.0 ,0.034 ,92485,91409,C,
