x
1	orf19.6002
2	orf19.6350
3	orf19.1655
4	orf19.6918
5	orf19.3780
6	orf19.4163
7	orf19.3781
8	orf19.5095
9	orf19.1536
10	orf19.5268
11	orf19.187
12	orf19.3295
13	orf19.2444
14	orf19.4993
15	orf19.5662
16	orf19.3674
17	orf19.5464
18	orf19.1985
19	orf19.1317
20	orf19.3068
21	orf19.7557
22	orf19.4424
23	orf19.4569
24	orf19.2198
25	orf19.5987
26	orf19.1508
27	orf19.2500
28	orf19.7424
29	orf19.397
30	orf19.2677
31	orf19.1237
32	orf19.4413
33	orf19.6233
34	orf19.5537
35	orf19.2748
36	orf19.2179
37	orf19.4752
38	orf19.5364
39	orf19.2190
40	orf19.2356
41	orf19.223
42	orf19.5604
43	orf19.6349
44	orf19.6704
45	orf19.7368
46	orf19.589:6364
47	orf19.7059
48	orf19.7422
49	orf19.3574
50	orf19.6861
51	orf19.97
52	orf19.2587
53	orf19.4651
54	orf19.3419
55	orf19.1738.1
56	orf19.1202
57	orf19.5039
58	orf19.5214
59	orf19.3930
60	orf19.4356
61	orf19.1333
62	orf19.2425.2
63	orf19.7300
64	orf19.3232
65	orf19.3649
66	orf19.3518
67	orf19.922
68	orf19.7050
69	orf19.5616
70	orf19.814.3
71	orf19.4280
72	orf19.4078
73	orf19.4418
74	orf19.4765
75	orf19.763
76	orf19.6898.1
77	orf19.3170
78	orf19.2953
79	orf19.3784
80	orf19.2167
81	orf19.4779
82	orf19.4658
83	orf19.1421
84	orf19.7235
85	orf19.5758
86	orf19.6792
87	orf19.7417
88	orf19.6524
89	orf19.2876
90	orf19.3689
91	orf19.3512
92	orf19.1484
93	orf19.1226
94	orf19.596.1
95	orf19.6396
96	orf19.1513
97	orf19.3131
98	orf19.5266
99	orf19.6643
100	orf19.5197
101	orf19.1643
102	orf19.5461
103	orf19.1283
104	orf19.7108
105	orf19.6062.3
106	orf19.2765
107	orf19.6061
108	orf19.4563
109	orf19.23
110	orf19.4837
111	orf19.971
112	orf19.2270
113	orf19.6031
114	orf19.1795
115	orf19.6273
116	orf19.3431
117	orf19.3435
118	orf19.6561
119	orf19.4686
120	orf19.5968
