"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"1838","orf19.7282","PEX13","R",589.7,139.787303378322,687.5,315.711263778807,1.2,0.41787135,1.1,0.199,1904917,1906032,"W",NA
"1839","orf19.7283","","R",1062.4,517.72534355887,1438.3,557.394003105905,1.4,0.381539716,1,0.034,1906824,1906456,"C",NA
"1840","orf19.7284","ASR2","R",15952,9568.35731703186,15205.2,9233.9505344977,1,0.798930137,1,0.05,1907965,1907189,"C",NA
"1841","orf19.7285","","R",1787.9,708.103773354759,1732.9,922.540948375579,1,0.471785162,1,0.073,1909464,1908367,"C",NA
"1842","orf19.7286","RPN7","R",1590.9,600.768842756217,2073.3,789.75346632554,1.3,0.088171425,1,0.101,1911418,1910216,"C",NA
"1843","orf19.7288","","R",3939.7,1965.53884316965,3623.2,1920.02283463043,0.9,0.581459907,1,0.047,1911800,1913122,"W",NA
"1844","orf19.7290","","R",2002.5,647.716228277154,2143.4,510.001037228021,1.1,0.724085823,1.1,0.115,1913738,1913235,"C",NA
"1845","orf19.7291","","R",633.5,211.698800106873,749.6,418.039346611904,1.2,0.527469924,1.1,0.058,1914361,1915368,"W",NA
"1846","orf19.7292","ARP2","R",2977.1,308.635486110082,4118.1,626.182600021375,1.4,0.003146419,1.1,0.147,1915605,1916846,"W",NA
"1847","orf19.7293","MPS1","R",103.9,81.2002946714498,44.6,53.2558039671909,0.4,0.098872977,1.1,0.08,1918974,1916902,"C",NA
"1848","orf19.7295","","R",308.2,127.198110387406,364.3,218.212547199765,1.2,0.398653396,1.1,0.061,1921462,1919900,"C",NA
"1849","orf19.7296","","R",1282.9,1055.73397451849,2135.1,1960.49986806344,1.7,0.016640271,1.1,0.154,1923260,1922208,"C",NA
"1850","orf19.7297","","R",6195.9,2374.12687053115,7261.2,2509.52773474541,1.2,0.351105599,1,0.103,1926092,1924941,"C",NA
"1851","orf19.7298","CHS2","R",738.2,549.084415767291,637.2,396.044568270509,0.9,0.780894225,1,0.067,1929888,1926859,"C",NA
"1852","orf19.7299.1","","R",42.5,22.3554165177382,118.5,105.136544860234,2.8,0.962394075,1,0.069,1931347,1931048,"C",NA
"1853","orf19.7300","","R",152.5,104.093772784163,244.6,94.9712313261547,1.6,0.074647987,1,0.037,1931876,1932700,"W",NA
"1854","orf19.7301","","R",154.9,12.2758317750518,173.5,82.5672238165629,1.1,0.97274641,1.1,0.073,1934844,1933084,"C",NA
"1855","orf19.7303","","R",4.7,7.8192898251415,5.4,12.6974510994238,NA,0.498009197,1,0.033,1935993,1936730,"W",NA
"1856","orf19.7304","","R",570.8,279.722133769925,347,253.425542114555,0.6,0.124231653,1,0.057,1938292,1936814,"C",NA
"1857","orf19.7305","","R",547.3,240.112654531051,556.6,389.961012962917,1,0.551054213,1,0.043,1941773,1940490,"C",NA
"1858","orf19.7306","","R",1839.2,560.371790603777,2337.8,560.109337700536,1.3,0.282438021,1,0.087,1943395,1942346,"C",NA
"1859","orf19.7307","","R",1099.5,573.681196035756,1001.3,317.483168707672,0.9,0.953572182,1,0.053,1944876,1944019,"C",NA
"1860","orf19.7308","TUB1","R",7023.2,1900.59036984091,6212.6,2055.13014978835,0.9,0.367512278,1.1,0.112,1947002,1945442,"C",NA
"1861","orf19.7310","","R",6288.6,3348.04166937095,7020.7,3209.95437586987,1.1,0.136558376,1,0.041,1950017,1947651,"C",NA
"1862","orf19.7311","","R",251.9,57.5560682572973,297.7,14.4007565910223,1.2,0.267694668,1,0.074,1950737,1951321,"W",NA
"1863","orf19.7312","ERG13","R",3690.1,1839.08652954083,4099.8,2347.22464985869,1.1,0.559537773,1,0.061,1952785,1951430,"C",NA
"1864","orf19.7313","SSU1","R",1661.6,672.236521998936,1737.6,766.047684787219,1,0.71861605,1.1,0.107,1955514,1954069,"C",NA
"1865","orf19.7314","CDG1","R",968.4,629.547302086047,1129.6,671.862186753779,1.2,0.049952858,1,0.097,1957893,1958690,"W",NA
"1866","orf19.7316","","R",368.6,189.061145616046,432.2,209.611820698156,1.2,0.275674124,1.1,0.1,1959725,1958820,"C",NA
"1867","orf19.7317","UGA33","R",330.8,125.179106479126,304.1,137.980828483532,0.9,0.590568446,1,0.039,1961409,1959961,"C",NA
"1868","orf19.7319","SUC1","R",181.7,185.56941426986,177.9,208.554731204654,1,0.406080629,1,0.046,1961827,1963332,"W",NA
"1869","orf19.7320","LIP7","R",95.7,58.244901032138,129.3,67.2234719806761,1.3,0.20371782,1,0.051,1964703,1963423,"C",NA
"1870","orf19.7321","","R",329.1,86.7703016965549,339.6,102.093666040739,1,0.862851938,1,0.049,1966892,1965072,"C",NA
"1871","orf19.7322","","R",4034.4,3498.51900091857,4060.4,548.726123274115,1,0.627453051,1,0.06,1967721,1967278,"C",NA
"1872","orf19.7323","CBP1","R",231.3,208.293075866576,336.6,281.178366341395,1.5,0.356141559,1,0.032,1970339,1968870,"C",NA
"1873","orf19.7324","THI13","R",149.3,56.1352306516153,155.4,87.7942939528335,1,0.631871767,1,0.081,1972365,1973384,"W",NA
"1874","orf19.7325","","R",924.1,187.941054571121,1419.8,335.981505026345,1.5,0.001082881,1,0.156,1974446,1973541,"C",NA
"1875","orf19.7326","","R",253.1,178.463824076519,358.6,264.243002676488,1.4,0.086784128,1,0.042,1974889,1976628,"W",NA
"1876","orf19.7327","PHO88","R",4420,1313.15811468896,4771.3,1038.39591262938,1.1,0.522488351,1,0.022,1977431,1976856,"C",NA
"1877","orf19.7328","","R",2042.2,782.897581984205,1606.7,419.596470403647,0.8,0.234282802,1,0.096,1980530,1977825,"C",NA
"1878","orf19.7329","","R",1986.2,2500.11509485859,2632.7,3203.51618447680,1.3,0.226647739,1.1,0.108,1981163,1981666,"W",NA
"1879","orf19.7330","","R",3.9,9.24719421634098,4.3,10.1874460367978,NA,0.363217468,1,0.028,1982885,1982172,"C",NA
"1880","orf19.7331","FCY24","R",60.3,39.0920074520023,102.9,44.512980042611,1.7,0.067788732,1.1,0.092,1983245,1984831,"W",NA
"1881","orf19.7332","ELF1","R",3265.6,1283.52994922404,2364.6,1144.03861229210,0.7,0.046568244,1,0.043,1985195,1988782,"W",NA
"1882","orf19.7335","PRE8","R",1299,705.262719052166,1824.9,957.958064414685,1.4,0.08154457,1,0.063,1989161,1990063,"W",NA
"1883","orf19.7336","","R",477.2,443.482769325611,430.7,370.46744841213,0.9,0.311199831,1,0.046,1992313,1990499,"C",NA
"1884","orf19.7337","","R",7672.1,8861.5529460945,8011.6,8921.11896083859,1,0.222387865,1,0.051,2000400,2002514,"W",NA
"1885","orf19.7339","BGL22","R",52.5,81.2838227439406,62.6,97.8787827520827,NA,0.344817843,1.1,0.092,2005913,2002983,"C",NA
"1886","orf19.7340","","R",20.8,33.831067326153,61,84.9497477223605,NA,0.574067367,1,0.045,2006764,2006432,"C",NA
"1887","orf19.7341","","R",882.7,701.413235381457,967.8,773.299540776648,1.1,0.287363516,1.1,0.052,2007958,2006911,"C",NA
"1888","orf19.7342","AXL1","R",3.3,7.64924288044827,24.1,26.4553169801205,NA,0.050796781,1,0.031,2017305,2021417,"W",NA
"1889","orf19.7343","","R",392.1,268.086434180892,431.3,336.673472455859,1.1,0.407710207,1.1,0.034,2021942,2023318,"W",NA
"1890","orf19.7344","","R",415.1,325.228068456011,280,233.275208010083,0.7,0.289886192,1,0.061,2023763,2026270,"W",NA
"1891","orf19.7345","","R",378.6,197.633486453140,464.9,163.809618714967,1.2,0.230119859,1,0.042,2027614,2026610,"C",NA
"1892","orf19.6612","","R",974,501.671005638836,1287.5,878.646892155836,1.3,0.392365064,1,0.072,2028770,2027970,"C",NA
"1893","orf19.6610","","R",489.7,245.922961024527,305.8,270.471343427438,0.6,0.077472613,1,0.048,2031915,2029141,"C",NA
"1894","orf19.6608","","R",235.2,177.591992205984,196,135.116282018480,0.8,0.728247427,1,0.036,2034660,2032492,"C",NA
"1895","orf19.6607","","R",915,403.723888019523,1271.9,590.914757907805,1.4,0.01633942,1,0.023,2036446,2035832,"C",NA
"1896","orf19.6606","","R",181.6,232.498519075382,187.5,214.849974172711,1,0.564781562,1,0.034,2038879,2037515,"C",NA
"1897","orf19.6605","","R",17.1,17.8356831220345,44.9,61.1737337427088,NA,0.557010742,1,0.043,2039230,2040093,"W",NA
"1898","orf19.6604","","R",351.1,225.154985156978,830.9,486.441843016298,2.4,0.096425421,1,0.036,2041301,2040213,"C",NA
"1899","orf19.6602","","R",470.2,168.412811479566,908.3,257.150874365547,1.9,0.000622126,1,0.052,2042808,2043677,"W",NA
"1900","orf19.6601.1","YKE2","R",166.7,187.316215207080,255.7,238.653446255794,1.5,0.06534599,1,0.047,2044321,2043818,"C",NA
"1901","orf19.6601","","R",1013.4,741.434084778514,1524.8,1094.95294137247,1.5,0.08401327,1.1,0.081,2046291,2045083,"C",NA
"1902","orf19.6600","","R",316.7,248.374985618699,413.9,204.853283443266,1.3,0.14756568,1,0.027,2048280,2047690,"C",NA
"1903","orf19.6599.1","","R",5782.8,406.193761001574,4977.5,352.651715660577,0.9,0.035807763,1.1,0.039,2049950,2049756,"C",NA
"1904","orf19.6598","WAL1","R",120.1,83.8363738771435,78.3,95.4851665349088,0.7,0.147703733,1.1,0.172,2050368,2052509,"W",NA
"1905","orf19.6597","","R",73.7,83.8981642687323,117.5,105.266735043804,1.6,0.153898578,1,0.05,2053092,2054267,"W",NA
"1906","orf19.6596","","R",3569.1,2471.37809835070,4126.8,2527.34894851611,1.2,0.039474594,1,0.057,2055203,2054292,"C",NA
"1907","orf19.6595","RTA4","R",103.9,104.005400656744,140.3,131.854000401219,1.3,0.188953253,1.1,0.051,2057241,2055871,"C",NA
"1908","orf19.6594","PLB3","R",2701.8,1936.55910277419,2534.3,2009.46460517712,0.9,0.647384534,1.1,0.039,2061195,2059297,"C",NA
"1909","orf19.6592","","R",265.6,173.494471473795,382.3,193.597395715181,1.4,0.06733028,1,0.048,2063769,2065538,"W",NA
"1910","orf19.6591","","R",503.4,173.816842705291,450,142.805677331819,0.9,0.424478668,1,0.05,2066600,2067778,"W",NA
"1911","orf19.6590","VMA22","R",50.2,69.7305328760392,93.5,97.4116278683722,NA,0.170883931,1,0.048,2068017,2068583,"W",NA
"1912","orf19.6589","","R",2197,1006.05680753589,1820.4,798.701644709153,0.8,0.178551353,1,0.08,2069970,2068624,"C",NA
"1913","orf19.7546","","R",1372.3,393.145832454732,1205.8,374.771647820454,0.9,0.223679952,1.1,0.048,2070097,2071701,"W",NA
"1914","orf19.7547","","R",187.5,185.811062306950,394.2,321.40536813178,2.1,0.050707332,1.1,0.048,2072857,2071769,"C",NA
"1915","orf19.7548","","R",262.7,71.9638031024148,332,113.688573595211,1.3,0.045796255,1,0.049,2073450,2073986,"W",NA
"1916","orf19.7549","PMT5","R",506.4,298.698239085522,428.6,255.944860795856,0.8,0.321218672,1,0.066,2076212,2074035,"C",NA
"1917","orf19.7550","IFA14","R",128.7,138.170391034546,226.6,228.822239116608,1.8,0.157361554,1,0.044,2080150,2078114,"C",NA
"1918","orf19.7551","ALO1","R",1615.1,1557.09853900848,1734.2,1249.81158413019,1.1,0.290469491,1.1,0.08,2090795,2092468,"W",NA
"1919","orf19.7552","","R",849.4,259.597011181985,722.6,228.587394061888,0.9,0.393140314,1,0.051,2095287,2092669,"C",NA
"1920","orf19.7553","","R",46,32.8814110823147,44.6,34.6192094124161,NA,0.485168281,1,0.115,2095906,2096619,"W",NA
"1921","orf19.7554","","R",2442.3,2112.19556949675,1099,673.020117251827,0.4,0.207839525,1.1,0.116,2097128,2098810,"W",NA
"1922","orf19.7555","","R",7.9,11.7845808866201,46.7,80.3933565462346,NA,0.86517958,1,0.048,2097154,2096717,"C",NA
"1923","orf19.7556","","R",167.2,51.3108611251013,139.8,78.0946599496538,0.8,0.364620536,1.1,0.025,2099576,2098932,"C",NA
"1924","orf19.7557","FGR46","R",0.7,1.35643989701457,1.1,2.24113275183421,NA,0.881707982,1,0.03,2100712,2100350,"C",NA
"1925","orf19.7558","YTA6","R",543.3,508.351844232767,391.3,362.743643251521,0.7,0.786081953,1.1,0.113,2100853,2103315,"W",NA
"1926","orf19.7561","DEF1","R",2568.7,1278.90735586578,2609,975.31552935249,1,0.755347689,1.1,0.095,2106215,2108878,"W",NA
"1927","orf19.7563","BET2","R",1131.8,338.927627972064,1226.5,222.910019228391,1.1,0.486050096,1.1,0.047,2114062,2113037,"C",NA
"1928","orf19.7564","DPB2","R",547.2,213.686708852225,488.2,289.013071134145,0.9,0.318809651,1,0.087,2116462,2114336,"C",NA
"1929","orf19.7565","GNP3","R",874,1312.74938707354,1062.9,1532.5984739849,1.2,0.099820301,1,0.064,2118782,2120479,"W",NA
"1930","orf19.7566","","R",775.6,764.350079425005,1478.1,1351.28009025648,1.9,0.001290118,1.1,0.116,2122928,2124643,"W",NA
"1931","orf19.7567","","R",270.9,159.023194175973,326.2,114.328779165682,1.2,0.093464761,1.1,0.059,2125477,2126766,"W",NA
"1932","orf19.7568","","R",16,29.6403003617418,12.5,23.0543174544166,NA,0.887886418,1,0.064,2127071,2127916,"W",NA
"1933","orf19.7569","SIK1","R",4207.2,715.099535303136,5528.8,2166.75810073616,1.3,0.157849598,1,0.044,2129688,2128138,"C",NA
"1934","orf19.7570","UGA3","R",435.6,194.662557351594,448.3,141.236138319960,1,0.812015225,1.1,0.062,2132371,2129960,"C",NA
"1935","orf19.7571","UBC4","R",3195.4,615.746163090934,4308.6,1081.95271197167,1.3,0.056385058,1,0.048,2133698,2134585,"W",NA
"1936","orf19.7572","SPT7","R",165.2,101.967047716923,124.6,78.5158448560577,0.8,0.216773832,1.1,0.085,2135360,2139283,"W",NA
"1937","orf19.7574","","R",522.8,343.963630268174,395.6,265.976513209659,0.8,0.003109413,1.1,0.064,2139917,2144236,"W",NA
"1938","orf19.7576","","R",456.7,218.325870050510,485.9,190.409584122426,1.1,0.581975461,1,0.034,2144797,2144339,"C",NA
"1939","orf19.7577","MSS51","R",543.3,407.053064705649,530.2,413.92869890615,1,0.534681823,1,0.086,2146359,2145052,"C",NA
"1940","orf19.7578","","R",977.8,1031.68362660617,1050.6,1073.25708147177,1.1,0.386596918,1.1,0.161,2147575,2146799,"C",NA
"1941","orf19.7579","FGR34","R",490.2,350.26913002477,624.9,500.622273498726,1.3,0.302439068,1,0.044,2148076,2149641,"W",NA
"1942","orf19.7580","","R",1438.2,904.776171789286,1584.2,404.963691278614,1.1,0.665717388,1,0.04,2149931,2150245,"W",NA
"1943","orf19.7581","","R",1338.7,516.639608503016,1430.2,697.110316078988,1.1,0.712975433,1,0.05,2150750,2152165,"W",NA
"1944","orf19.7583","ZCF39","R",2522.3,1862.63905697243,2979.4,2067.82538620491,1.2,0.087280385,1,0.044,2154225,2152180,"C",NA
"1945","orf19.7585","INO1","R",4958.5,2226.29263868607,7298.3,4880.27624034538,1.5,0.51952252,1.1,0.108,2157196,2155634,"C",NA
"1946","orf19.7586","CHT3","R",813.8,323.448144070202,599.7,167.150304056616,0.7,0.321430672,1.1,0.095,2161835,2163538,"W",NA
"1947","orf19.7588","","R",212.2,190.943940940387,289.4,309.828865510317,1.4,0.295093531,1,0.034,2164594,2163773,"C",NA
"1948","orf19.7589","","R",159.3,179.867293271397,190.5,216.521527812942,1.2,0.341678987,1,0.04,2164701,2165435,"W",NA
"1949","orf19.7590","","R",2744.8,1795.66211904955,2738.9,2007.31977533065,1,0.851780176,1.1,0.108,2165996,2168158,"W",NA
"1950","orf19.7592","FAA4","R",9191.7,2121.40676643689,8770.2,2740.62104786059,1,0.360678876,1,0.101,2172618,2174708,"W",NA
"1951","orf19.7593","","R",369.2,122.716456336102,411.6,171.272137061931,1.1,0.531026256,1,0.046,2176379,2174925,"C",NA
"1952","orf19.7594","","R",35.5,33.0670322703185,22.8,38.9469210477182,NA,0.501162781,1,0.069,2176858,2177499,"W",NA
"1953","orf19.7595","","R",452.5,324.944681573854,540.3,412.648286474038,1.2,0.361245365,1,0.057,2178885,2177557,"C",NA
"1954","orf19.7596","","R",345.2,409.738567208168,354.3,351.171603522427,1,0.702429224,1,0.046,2179540,2180523,"W",NA
"1955","orf19.7597","PGA12","R",63.2,79.5437158251374,63.2,51.9741025260605,NA,0.491819419,1,0.099,2181057,2182004,"W",NA
"1956","orf19.7598","","R",1026.7,592.899681948597,1155,659.901965999978,1.1,0.126440865,1,0.103,2182918,2184237,"W",NA
"1957","orf19.7599","UTP5","R",650.3,216.613787441926,741.8,334.642580699666,1.1,0.391363379,1.1,0.099,2184474,2186384,"W",NA
"1958","orf19.7600","FDH3","R",12325.4,8317.35514977275,15216.9,11897.8987501548,1.2,0.228672964,1.1,0.128,2187850,2186501,"C",NA
"1959","orf19.7601","","R",445.5,117.427191129609,437.9,80.6528145663688,1,0.979841111,1.1,0.041,2188567,2189382,"W",NA
"1960","orf19.7602","","R",1054.8,1213.04038995576,1218.6,1457.74545711273,1.2,0.363080871,1,0.029,2190483,2189443,"C",NA
"1961","orf19.7603","","R",745.2,163.661986571521,865.5,145.087015470573,1.2,0.484229106,1,0.024,2191147,2191473,"W",NA
"1962","orf19.7604","","R",1240.8,681.14566882289,719.7,403.853264055667,0.6,0.009291646,1.1,0.124,2195374,2191550,"C",NA
"1963","orf19.7605","PUP1","R",1958.7,850.500133068851,2802.3,1460.27225881214,1.4,0.047492665,1.1,0.126,2195778,2196596,"W",NA
"1964","orf19.7606","","R",612.5,203.991041025411,636.4,221.993466501026,1,0.714594707,1,0.051,2197624,2198115,"W",NA
"1965","orf19.7608","","R",351.6,185.221015775269,262.3,136.629572556999,0.7,0.033528838,1,0.058,2199676,2200071,"W",NA
"1966","orf19.7609","PGA11","R",26.8,39.3439016998448,12.8,24.7207347096275,NA,0.283862227,1.1,0.119,2201728,2202102,"W",NA
"1967","orf19.7610","PTP3","R",327.6,152.482267605103,306,205.745447107659,0.9,0.302869011,1,0.063,2206947,2209715,"W",NA
"1968","orf19.7611","TRX1","R",34110.9,16322.7629541084,32660.8,11962.1579467627,1,0.845491214,1,0.068,2210638,2210327,"C",NA
"1969","orf19.7612","CTM1","R",2992.6,752.65906330104,3545.5,1434.10095919005,1.2,0.584705848,1,0.058,2213688,2211628,"C",NA
"1970","orf19.7613","HCR1","R",2883.7,1387.10124706168,3160.2,1682.92196943203,1.1,0.95425436,1,0.018,2214260,2215117,"W",NA
"1971","orf19.7614","","R",121.6,69.6562883680077,133.7,75.5209046072046,1.1,0.013162955,1.1,0.08,2216261,2215236,"C",NA
"1972","orf19.7615","","R",82,64.3164263373217,138,126.629830525349,1.7,0.120113579,1,0.066,2216559,2217305,"W",NA
"1973","orf19.7617","","R",1099.5,288.027275789691,1427.2,748.552294932793,1.3,0.350532994,1.1,0.092,2217467,2218099,"W",NA
"1974","orf19.7618","","R",3404.9,2644.90881878506,4287.1,2823.55246334054,1.3,0.010798005,1.1,0.102,2218969,2218139,"C",NA
"1975","orf19.7619","","R",596.3,539.551269077843,455.8,374.696712539103,0.8,0.132111753,1.1,0.058,2219901,2221751,"W",NA
"1976","orf19.7620","","R",2.2,3.19820885774560,0,0,NA,0.422649731,1,0.07,2222451,2221873,"C",NA
"1977","orf19.7621","","R",428.6,105.884392489816,358.6,228.999234201370,0.8,0.237066242,1,0.04,2223004,2225697,"W",NA
"1978","orf19.7622","SPT3","R",717.4,582.226121658171,730.6,556.667673419451,1,0.525051979,1.1,0.102,2226700,2225714,"C",NA
"1979","orf19.7624","","R",789.6,590.245168430472,712.7,575.243028735582,0.9,0.322791567,1,0.049,2229053,2227458,"C",NA
"1980","orf19.7625","PGA1","R",1902.8,1308.13201826684,2352.2,1637.49537906433,1.2,0.054911909,1.1,0.147,2229458,2229856,"W",NA
"1981","orf19.7626","EIF4E","R",6494.6,3600.46212630829,7087.7,4352.95233392074,1.1,0.909656611,1.1,0.101,2230355,2230984,"W",NA
"1982","orf19.7627","","R",493.2,200.533451167207,664.6,319.066777648943,1.3,0.031364225,1.1,0.102,2231921,2231031,"C",NA
"1983","orf19.7629","","R",295.7,131.597533281355,249.3,176.935310405948,0.8,0.24577691,1.1,0.172,2232120,2235386,"W",NA
"1984","orf19.7631","SLD5","R",88.2,95.2005655750271,58.9,67.082681976281,NA,0.229268721,1,0.046,2236105,2235395,"C",NA
"1985","orf19.7632","","R",574.5,573.379267097937,379.4,322.283294789285,0.7,0.199446273,1.1,0.115,2236271,2237758,"W",NA
"1986","orf19.7634","MCD1","R",145.3,141.919674702954,138.9,131.502229110675,1,0.472217022,1,0.06,2239475,2237781,"C",NA
"1987","orf19.7635","DRS1","R",1710.6,1237.51041032395,2007.6,1428.37455751288,1.2,0.095452028,1.1,0.125,2240886,2242727,"W",NA
"1988","orf19.7637","YHB4","R",439.5,307.834953536847,605.6,426.632837215818,1.4,0.015865807,1.1,0.099,2245358,2244156,"C",NA
"1989","orf19.7638","PRO1","R",913.8,538.593667233668,1305.6,794.70518483386,1.4,0.04484641,1.1,0.114,2245865,2247136,"W",NA
"1990","orf19.7642","","R",396.7,268.588418471704,242.7,130.036395132029,0.6,0.24167433,1.1,0.095,2247207,2249612,"W",NA
"1991","orf19.7643","","R",1675,457.000111375262,1822.5,829.567811671357,1.1,0.816775491,1.1,0.125,2250641,2249595,"C",NA
"1992","orf19.7644","","R",94.1,46.4953724175314,100.7,53.7950842852459,1.1,0.50182454,1,0.035,2251108,2250707,"C",NA
"1993","orf19.7645","","R",48.1,63.1095016195334,29.7,36.4017574569275,NA,0.216113844,1.1,0.115,2253169,2251172,"C",NA
"1994","orf19.7646","","R",493.6,93.4864775477994,459.1,140.309240497951,0.9,0.238209927,1.1,0.058,2253226,2254167,"W",NA
"1995","orf19.7648","","R",367.3,261.636725942456,330.5,253.923257009582,0.9,0.764153691,1.1,0.162,2254323,2255753,"W",NA
"1996","orf19.7650","LTV1","R",683.2,117.155019251799,899.4,365.808418026736,1.3,0.16400136,1.1,0.074,2255840,2256991,"W",NA
"1997","orf19.7652","CKA1","R",1366.4,846.99242453028,1607,813.457021468676,1.2,0.027075868,1.1,0.109,2257300,2258307,"W",NA
"1998","orf19.7654","CPR6","R",1743.3,1527.41370552139,2132.6,769.16349426755,1.2,0.114930487,1.1,0.127,2258818,2259927,"W",NA
"1999","orf19.7655","RPO21","R",8045.2,6732.53495396592,6415.3,5025.08254458987,0.8,0.273564366,1.1,0.152,2260510,2265696,"W",NA
"2000","orf19.7657","POP3","R",525.8,408.784432259338,614.5,534.380514364543,1.2,0.844859971,1.1,0.068,2265749,2266495,"W",NA
"2001","orf19.7658","RFC4","R",791.4,647.795471634729,1150.7,916.301299358864,1.5,0.072193337,1.1,0.07,2266570,2267541,"W",NA
"2002","orf19.7660","VPS52","R",374.9,386.11138901448,300.1,279.443188945316,0.8,0.94279561,1.1,0.1,2269109,2267538,"C",NA
"2003","orf19.7661","HMI1","R",304.8,242.922171510141,368.7,276.672280720428,1.2,0.096374672,1.1,0.133,2269233,2271146,"W",NA
"2004","orf19.7662","","R",356.1,290.058655075150,535.6,500.945308300823,1.5,0.206524931,1.1,0.12,2272137,2271130,"C",NA
"2005","orf19.7663","","R",258.7,50.9604341925575,340.1,87.315056979218,1.3,0.283554103,1.1,0.186,2272249,2272926,"W",NA
"2006","orf19.7664","","R",1456.3,877.253002641366,1995.1,1144.35492397938,1.4,0.072676883,1.1,0.037,2273334,2272930,"C",NA
"2007","orf19.7665","","R",403.4,143.765635556447,669.9,64.3552730805496,1.7,0.162527444,1.1,0.132,2273812,2273426,"C",NA
"2008","orf19.7666","","R",252.3,161.720068623939,343.7,137.325077828221,1.4,0.257708738,1.1,0.262,2274335,2275906,"W",NA
"2009","orf19.7667","IAH1","R",916.1,571.792670374349,714.4,501.765185960753,0.8,0.017900292,1,0.044,2276724,2275918,"C",NA
"2010","orf19.7668","MAL2","R",2442.1,794.170870000524,969.3,626.931185579009,0.4,0.01765679,1.1,0.104,2276897,2278609,"W",NA
"2011","orf19.7670","","R",3497.6,1126.60382910955,2660.5,732.064338999868,0.8,0.169394838,1.1,0.229,2281388,2278617,"C",NA
"2012","orf19.7672","","R",676,240.731951835353,654.2,178.664587892476,1,0.897800253,1.1,0.181,2282476,2281481,"C",NA
"2013","orf19.7673","","R",1351.1,995.37994922575,1856.3,1223.44734739008,1.4,0.028927152,1.2,0.176,2282567,2282917,"W",NA
"2014","orf19.7675","","R",1680,1378.12952778029,1906.5,1424.27039529117,1.1,0.84422591,1.1,0.158,2283424,2282948,"C",NA
"2015","orf19.7676","XYL2","R",20572.6,18347.6122928114,24247.3,18041.2783864023,1.2,9.28e-06,1.1,0.119,2284606,2283524,"C",NA
"2016","orf19.7678","","R",12137,3647.80185395276,15858.6,6100.84383890641,1.3,0.07203277,1.1,0.039,2285380,2284895,"C",NA
"2017","orf19.7680","CTA26","R",522.6,333.588864932505,847.5,572.969957219505,1.6,0.002798962,1.1,0.067,2286350,2285529,"C",NA
"2018","orf19.6112","CTA2","1",6489.3,6669.6801201706,8491.6,8373.2941608462,1.3,0.028973747,1.1,0.031,10718,11485,"W",NA
"2019","orf19.6110","","1",173.3,167.967169982117,73.4,31.1165420689388,0.4,0.425698917,1.1,0.211,11995,11648,"C",NA
"2020","orf19.6109","TUP1","1",4746.7,2098.77872985285,4098.5,1636.34752183213,0.9,0.059680813,1.1,0.197,12163,13701,"W",NA
"2021","orf19.6105","MVD","1",2699.6,1218.33766582412,3046.3,1384.96195606321,1.1,0.39542928,1.1,0.132,13778,14917,"W",NA
"2022","orf19.6103","","1",59.9,57.6488015491458,98.7,88.1415229967863,NA,0.66488387,1.1,0.176,15595,16116,"W",NA
"2023","orf19.6102","","1",2176,1765.39256487266,2818.8,1837.96962947243,1.3,0.006608098,1.1,0.078,15761,14910,"C",NA
"2024","orf19.6100","","1",1190.2,313.44998561675,1531.4,528.692153046601,1.3,0.020442349,1.1,0.193,17328,16600,"C",NA
"2025","orf19.6099","CCT8","1",1702,846.90389760035,2130.9,1384.86443076582,1.3,0.413166978,1.1,0.259,17338,18960,"W",NA
"2026","orf19.6096","TRP1","1",3454.8,1317.43229681872,4002,1779.08037746344,1.2,0.665511682,1.1,0.154,19628,18948,"C",NA
"2027","orf19.6094","","1",450.7,320.916827561711,394,301.791103878552,0.9,0.545467217,1.1,0.107,21714,19615,"C",NA
"2028","orf19.6092","KEL1","1",736.9,146.799139731123,724.1,159.794236240416,1,0.833016535,1,0.115,22270,25326,"W",NA
"2029","orf19.6091","RIM8","1",3780,1265.94590605855,2802.5,1060.05885702597,0.7,0.067985746,1.1,0.085,27249,25381,"C",NA
"2030","orf19.6090","","1",6212.9,2927.74680677166,6962.8,2812.17998553387,1.1,0.093771981,1,0.12,29488,28286,"C",NA
"2031","orf19.6086","LEU4","1",1826,747.178068871816,2105.9,1188.62527226625,1.2,0.805782047,1.1,0.131,29804,31543,"W",NA
"2032","orf19.6085","RPL16A","1",8366.1,2905.34306386893,8880.1,3445.86216990805,1.1,0.500645242,1,0.138,31842,32444,"W",NA
"2033","orf19.6084","","1",17.7,19.7161959187748,42.1,42.9823826847045,NA,0.193742914,1.1,0.115,33318,32680,"C",NA
"2034","orf19.6083","","1",763.7,202.931552472209,899.7,172.978423919539,1.2,0.434980147,1,0.138,34446,34099,"C",NA
"2035","orf19.6082","","1",2296.4,724.284760631927,2142.5,869.84756508573,0.9,0.446420452,1,0.039,35679,34525,"C",NA
"2036","orf19.6081","PHR2","1",18102.5,9279.03929075257,17380.7,9973.27373869879,1,0.571277968,1,0.128,37852,39486,"W",NA
"2037","orf19.6080","","1",95.1,65.2083150601985,78.9,69.7021648213429,NA,0.52084326,1.1,0.065,41771,40485,"C",NA
