"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"38","orf19.5665","","4",934.4,470.146509519852,972.2,620.935019711472,1,0.807336306,1.1,0.045,58588,59571,"W",NA
"39","orf19.5666","","4",1020.1,435.707745990097,1358,803.264961108464,1.3,0.306164572,1.1,0.109,59717,60157,"W",NA
"40","orf19.5667","MNR2","4",1225.5,647.198473735898,1067.9,570.421096665782,0.9,0.448029765,1.1,0.11,60947,63340,"W",NA
"41","orf19.5669","","4",457.1,266.179311069603,714.2,461.162314794616,1.6,0.033855452,1,0.068,63561,64121,"W",NA
"42","orf19.5671","","4",3437.3,1102.60173221603,2915.3,689.887964505385,0.8,0.525002426,1,0.114,66706,64271,"C",NA
"43","orf19.5672","MEP2","4",717.7,349.367153324759,388.9,187.721654499937,0.5,0.002453753,1.1,0.146,67995,69437,"W",NA
"44","orf19.5673","OPT7","4",167,69.0879352546868,161.8,74.8374175444221,1,0.634110211,1.1,0.12,71749,69506,"C",NA
"45","orf19.5674","PGA10","4",269.6,378.573990014007,336.8,489.721851454198,1.2,0.654133045,1,0.023,73547,72795,"C",NA
"46","orf19.5675","","4",1153.9,194.098145630843,984.5,187.158033834239,0.9,0.02326281,1.1,0.107,77579,74271,"C",NA
"47","orf19.5676","","4",935.3,291.937849829771,763.2,147.227378324732,0.8,0.183954624,1,0.036,80171,78360,"C",NA
"48","orf19.5677","DUR4","4",66.4,70.3174950431917,117.3,147.584775576362,1.8,0.427673529,1.1,0.1,81578,83551,"W",NA
"49","orf19.4191.1","","4",891.9,749.5311771998,911.8,812.602935268796,1,0.794538062,1,0.077,86317,89235,"W",NA
"50","orf19.4191","RLP24","4",1168.3,427.878230303996,935.6,263.311464956942,0.8,0.162956828,1,0.116,90017,89388,"C",NA
"51","orf19.4190","","4",690.7,503.338039693235,770.2,907.268740142148,1.1,0.452173492,1,0.056,90450,90923,"W",NA
"52","orf19.4189","","4",208.9,185.278304767675,220.8,171.187653966866,1.1,0.720576855,1,0.034,92485,91409,"C",NA
